date	tache	profil	modele	tours	entree	entree_cache	sortie	duree_s	code	cout_usd
2026-09-14 18:27:08	TASK-033	deepseek	deepseek-flash	35	90450	2690944	61000	315	0	0.116
2026-09-14 18:40:49	TASK-033	deepseek	deepseek-flash	52	77978	4533760	64615	564	0	0.128
2026-09-14 23:42:58	TASK-034	deepseek	deepseek-flash	80	91831	7670272	87055	2728	0	0.178
2026-09-14 23:55:13	TASK-034	deepseek	deepseek-flash	69	72630	7015808	95960	465	0	0.179
2026-09-15 01:07:36	TASK-037	sonnet	sonnet	1	0	0	0	3	1	
2026-09-15 01:21:52	TASK-037	deepseek	deepseek-flash	102	182116	9239168	162350	818	0	0.305
2026-09-15 01:31:14	TASK-037	deepseek	deepseek-flash	62	94015	5543296	81419	354	0	0.159
2026-09-15 01:40:34	TASK-035	deepseek	deepseek-flash	57	100518	4711552	47941	286	0	0.116
2026-09-15 01:50:22	TASK-035	deepseek	deepseek-flash	37	68135	2677248	54599	279	0	0.102
2026-09-15 02:01:22	TASK-036	deepseek	deepseek-flash	51	86089	5047296	76662	384	0	0.148
2026-09-15 02:16:48	TASK-036	deepseek	deepseek-flash	92	126187	8691968	142833	621	0	0.261
2026-09-15 02:30:43	TASK-024	deepseek	deepseek-flash	57	73991	5100416	70115	545	0	0.137
2026-09-15 02:38:14	TASK-024	deepseek	deepseek-flash	39	77076	2898432	39938	211	0	0.088
2026-09-15 02:51:16	TASK-025	deepseek	deepseek-flash	75	174451	5751552	71078	457	0	0.172
2026-09-15 03:07:52	TASK-025	deepseek	deepseek-flash	61	100298	6866432	97218	531	0	0.188
2026-09-15 03:19:59	TASK-026	deepseek	deepseek-flash	55	141724	4031360	82525	416	0	0.166
